Date,Open,High,Low,Close,Volume
2020-10-21,13.9,14.42,13.8,14.1,5400855.0
2020-10-22,14.2,15.87,14.19,14.91,16252463.0
2020-10-23,15.05,15.38,14.55,15,6562390.0
2020-10-26,14.93,15.45,13.26,13.45,13461184.0
2020-10-27,13.71,13.71,12.36,12.69,7278310.0
2020-10-28,12.27,13.05,11.78,11.82,6478593.0
2020-10-29,11.88,12.25,11.6801,11.73,4219243.0
2020-10-30,11.64,11.64,10.36,10.47,11597791.0
2020-11-02,10.82,11.09,10.5,10.75,5277985.0
2020-11-03,10.75,11.86,10.63,11.57,7497495.0
2020-11-04,11.76,11.7699,10.61,10.91,5934813.0
2020-11-05,11.27,11.84,11.06,11.45,4781404.0
2020-11-06,11.52,12.17,11.32,11.86,5561939.0
2020-11-09,12.76,12.93,11.25,11.49,6329841.0
2020-11-10,11.5,11.66,10.83,11.1,3873525.0
2020-11-11,11.5,11.95,11.21,11.75,4940044.0
2020-11-12,11.74,11.87,10.97,11.13,4397415.0
2020-11-13,11.36,11.55,11,11.01,3609343.0
2020-11-16,11.16,12.6602,10.72,12.06,9831346.0
2020-11-17,11.65,11.92,11.23,11.63,6736527.0
2020-11-18,11.8,12.04,11.56,11.57,3209180.0
2020-11-19,11.6,12.79,11.45,12.46,11518791.0
2020-11-20,12.55,13.46,12.54,12.71,8308666.0
2020-11-23,12.9,14.12,12.67,13.9,9664535.0
2020-11-24,14.23,14.26,13.3,13.67,7278059.0
2020-11-25,13.6,15.25,13.42,14.75,8823009.0
2020-11-27,15.29,16.74,14.88,16.08,12657278.0
2020-11-30,18.17,19.42,16.5575,16.56,32499984.0
2020-12-01,17.11,17.4,15.76,15.8,12836291.0
2020-12-02,15.7,16.68,15.38,16.58,8007529.0
2020-12-03,16.48,16.64,15.87,16.12,6344823.0
2020-12-04,16.3,17.29,16.26,16.9,9045446.0
2020-12-07,17,17.5,16.22,16.35,7412735.0
2020-12-08,16.37,17.21,15.93,16.94,16172852.0
2020-12-09,13.92,14.73,13.225,13.66,24707047.0
2020-12-10,13.12,14.41,13.05,14.12,7662398.0
2020-12-11,13.91,14,13.02,13.31,7567809.0
2020-12-14,13.34,13.4335,12.14,12.72,10061763.0
2020-12-15,12.78,14.02,12.48,13.85,8245127.0
2020-12-16,13.96,14.305,13.58,13.85,5673760.0
2020-12-17,13.96,14.98,13.59,14.83,8231960.0
2020-12-18,15.78,16.3,15.18,15.63,17063460.0
2020-12-21,15.81,16.348,15.28,15.53,10073266.0
2020-12-22,16.22,20.04,16.15,19.46,30552530.0
2020-12-23,20.17,22.3499,19.13,20.57,25970259.0
2020-12-24,21.01,21.48,19.95,20.15,6340373.0
2020-12-28,21.31,21.97,20.35,20.99,9133517.0
2020-12-29,20.82,21.07,18.56,19.38,9319619.0
2020-12-30,19.38,20,18.85,19.26,5985048.0
2020-12-31,19.25,19.8,18.8,18.84,6971481.0
2021-01-04,19,19.1,17.15,17.25,10092135.0
2021-01-05,17.35,18.0765,17.23,17.37,5019394.0
2021-01-06,17.34,18.98,17.33,18.36,6112481.0
2021-01-07,18.47,19.45,18.02,18.08,6195694.0
2021-01-08,18.18,18.3,17.08,17.69,6529208.0
2021-01-11,19.41,20.65,19.01,19.94,15189190.0
2021-01-12,19.96,20.4,19.3168,19.95,7160540.0
2021-01-13,20.42,38.65,20.03,31.4,144615959.0
2021-01-14,38.09,43.06,33.05,39.91,94481545.0
2021-01-15,38.49,40.75,34.01,35.5,47121767.0
2021-01-19,41.55,45.52,36.64,39.36,75258739.0
2021-01-20,37.37,41.1899,36.06,39.12,33673533.0
2021-01-21,39.23,44.75,37,43.03,57186925.0
2021-01-22,42.59,76.7573,42.32,65.01,197363817.0
2021-01-25,96.73,159.18,61.13,76.79,179625091.0
2021-01-26,88.56,150,80.2,147.98,179186090.0
2021-01-27,354.83,380,249,347.51,94690299.0
2021-01-28,265,483,112.25,193.6,59345193.0
2021-01-29,379.71,413.98,250,325,50962948.0
2021-02-01,316.56,322,212,225,37686738.0
2021-02-02,140.76,158,74.2201,90,78581957.0
2021-02-03,112.01,113.3999,85.25,92.41,43121664.0
2021-02-04,91.19,91.5,53.33,53.5,62565057.0
2021-02-05,54.04,95,51.09,63.77,81588256.0
2021-02-08,72.41,72.66,58.02,60,25936579.0
2021-02-09,56.61,57,46.52,50.31,26951610.0
2021-02-10,50.77,62.83,46.55,51.2,36553122.0
2021-02-11,50.01,55.32,48.2201,51.1,13129987.0
2021-02-12,50.75,55.24,48.05,52.4,14467102.0
2021-02-16,52.66,53.5,49.04,49.51,8260023.0
2021-02-17,49.77,51.19,44.56,45.94,9309296.0
2021-02-18,48.49,48.87,40.65,40.69,24069069.0
2021-02-19,41.28,43.89,38.5,40.59,14881178.0
2021-02-22,46.69,48.51,42.4,46,19776482.0
2021-02-23,44.97,46.23,40,44.97,7661941.0
2021-02-24,44.7,91.71,44.7,91.71,83178770.0
2021-02-25,169.56,184.68,101,108.73,151178433.0
2021-02-26,117.46,142.9,86,101.74,92420338.0
2021-03-01,104.54,133.99,99.97,120.4,49901770.0
2021-03-02,116.93,133.2,112.2,118.18,33873525.0
2021-03-03,122.51,127.75,113.12,124.18,19325198.0
2021-03-04,125,147.8699,115.3,132.35,32659262.0
2021-03-05,128.17,151.53,127.5,137.74,30769229.0
2021-03-08,154.89,210.8699,146.1,194.5,63665599.0
2021-03-09,217.71,249.85,208.5101,246.9,39316927.0
2021-03-10,269.43,348.5,172,265,71759602.0
2021-03-11,241.64,281.5,232.6,260,28402777.0
2021-03-12,274.9965,295.5,262.27,264.5,25912990.0
2021-03-15,277.52,283,206,220.14,24280432.0
2021-03-16,203.16,220.7,172.35,208.17,35572869.0
2021-03-17,217.84,231.47,204,209.81,16518295.0
2021-03-18,214,218.88,195.65,201.75,11833440.0
2021-03-19,195.73,227,182.66,200.27,24908752.0
2021-03-22,205.26,210.3562,186.1952,194.49,10099231.0
